cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j,mode
0,0.1,0.0201025009155273,0.0050570964813232,2.2182116661580373,0.05,0.16740768413187712,3.0656602647569366e-05,0.1103637695312497,local_only
1,0.1,0.0200624465942382,0.005061388015747,2.216871278781805,0.05,0.1677828125823257,3.060188558366549e-05,0.11016678810119578,local_only
2,0.1,0.0200614929199218,0.0050604343414306,2.2169644786139155,0.05,0.16776622596470314,3.060010737842971e-05,0.11016038656234693,local_only
3,0.1,0.0200574398040771,0.0050609111785888,2.217053977557224,0.05,0.1678227136886137,3.0594524410035774e-05,0.1101402878761288,local_only
4,0.1,0.0200710296630859,0.005101203918457,2.21508862038479,0.05,0.16889445543720694,3.063117133246521e-05,0.11027221679687475,local_only
5,0.1,0.0200634002685546,0.0050623416900634,2.2166262775260726,0.05,0.16778790433041613,3.0603706836700287e-05,0.11017334461212101,local_only
6,0.1,0.0200655460357666,0.0050635337829589,2.2166297935103256,0.05,0.16780973451327166,3.060725000169538e-05,0.11018610000610336,local_only
7,0.1,0.0200622081756591,0.0050611495971679,2.216856614450778,0.05,0.167775793117618,3.060145179430629e-05,0.11016522645950265,local_only
8,0.1,0.02006196975708,0.0050599575042724,2.2170171731489647,0.05,0.16775041760418835,3.0600570970111284e-05,0.11016205549240062,local_only
9,0.1,0.0200574398040771,0.0050828456878662,2.2160144561048583,0.05,0.16847104564420276,3.060395850075608e-05,0.11017425060272189,local_only
