epoch,train_loss,train_acc,val_loss,val_acc
1,1.5418853296279906,0.43544,1.4065785541534424,0.4959
2,1.1795770685577394,0.57622,1.1575982633590698,0.5846
3,1.0142350991630553,0.63914,1.0475864156723023,0.6336
4,0.9126792469978332,0.67958,0.9205998109817505,0.672
5,0.8414705366134644,0.703,0.85025538854599,0.7062
6,0.7799473522758484,0.72622,0.8473896263122559,0.7099
7,0.7322755121231079,0.744,0.7766498993873596,0.7309
8,0.6981132419967652,0.75592,0.7010086603164672,0.7593
9,0.6630853318977356,0.77016,0.7294514085769653,0.7548
10,0.6344512491226196,0.77654,0.6936213104724884,0.7611
11,0.6097392469024658,0.78668,0.6905965692043304,0.7629
12,0.587825208826065,0.7955,0.6340184598922729,0.7814
13,0.5638870447158814,0.80246,0.6650388035774231,0.7673
14,0.5417465376186371,0.81138,0.620518324804306,0.7864
15,0.52953223695755,0.81404,0.6501010511875153,0.7786
16,0.5112884680175781,0.82074,0.6192406723976135,0.7887
17,0.4919780338859558,0.82646,0.6239023501396179,0.79
18,0.4820844170761108,0.83246,0.5991759611129761,0.7998
19,0.46980759828567503,0.8371,0.615182626914978,0.7943
20,0.45303854948043826,0.83978,0.585053528881073,0.8003
21,0.44087133354187014,0.84544,0.5753278720855712,0.811
22,0.4253964588165283,0.85046,0.6315872862815857,0.7913
23,0.41878644952774047,0.8546,0.561778485584259,0.8131
24,0.40602934975624083,0.85636,0.5759459068298339,0.8065
25,0.39652670044898986,0.85966,0.580189003944397,0.8085
26,0.3858529515075684,0.86422,0.5390918570995331,0.8175
27,0.3744683094882965,0.86724,0.5729752853393555,0.8119
28,0.36916415113449097,0.86998,0.5356807805538177,0.8205
29,0.3553277285003662,0.87508,0.5426067415237427,0.8203
30,0.3494421151828766,0.87806,0.5612629621028901,0.822
