cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec,mode
0,0.010100603103637695,0.020104408264160156,0.01007223129272461,0.005098104476928711,0.04537534713745117,adaptive_no_sdn
1,0.010076761245727539,0.020068883895874023,0.010073184967041016,0.005101919174194336,0.045320749282836914,adaptive_no_sdn
2,0.010072708129882812,0.02010369300842285,0.01007390022277832,0.005082607269287109,0.045332908630371094,adaptive_no_sdn
3,0.010071277618408203,0.02007460594177246,0.010065793991088867,0.005062103271484375,0.045273780822753906,adaptive_no_sdn
4,0.010061502456665039,0.020059823989868164,0.010084867477416992,0.005062580108642578,0.04526877403259277,adaptive_no_sdn
5,0.010062456130981445,0.020061969757080078,0.010061979293823242,0.0050618648529052734,0.04524827003479004,adaptive_no_sdn
6,0.010061025619506836,0.020061969757080078,0.010061025619506836,0.005060434341430664,0.045244455337524414,adaptive_no_sdn
7,0.010057210922241211,0.020059585571289062,0.010083675384521484,0.005070209503173828,0.045270681381225586,adaptive_no_sdn
8,0.010063409805297852,0.02006220817565918,0.010081052780151367,0.005060911178588867,0.045267581939697266,adaptive_no_sdn
9,0.010061502456665039,0.02010321617126465,0.010072946548461914,0.00510406494140625,0.04534173011779785,adaptive_no_sdn
