nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
30,3,2,cnn,local,1.9361330196261406,1000.0,1.9361330196261406,0.9571
30,3,2,snn,local,131.29465794190764,800.0,105.03572635352612,0.9021434294871795
