nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
20,2,1,cnn,local,1.931346021592617,1000.0,1.931346021592617,0.9571
20,2,1,snn,local,131.21083797886968,800.0,104.96867038309574,0.9021434294871795
