timestamp_utc,mode,load,rep,slice,app_class,topology_type,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,tcp_inference_port,udp_probe_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,udp_probe_rate_mbps,tcp_flow_seconds,udp_probe_seconds,tcp_valid_measurement,tcp_throughput_mbps,udp_probe_throughput_mbps,udp_jitter_ms,udp_loss_pct,udp_pdr,udp_packets,udp_lost_packets,udp_valid_measurement,udp_error,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T17:22:18Z,slicing_sla,light,5,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,1,1.56,0.299,5.706,0.0,1.0,217,0,1,,5.0,1.0,0.99,8.0,0,1,1,0,0,1
2026-09-16T17:22:18Z,slicing_sla,light,5,healthcare,Mission-critical healthcare inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,30,8,1,1.04,0.265,nan,100.0,0.0,0,0,0,udp_summary_not_found,8.0,1.0,0.99,6.0,0,0,0,0,0,1
2026-09-16T17:22:18Z,slicing_sla,light,5,industrial,Periodic industrial monitoring inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,30,8,1,1.56,0.213,nan,100.0,0.0,0,0,0,udp_summary_not_found,15.0,3.0,0.97,3.0,0,0,0,0,0,1
