timestamp_utc,mode,load,rep,slice,app_class,topology_type,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,slice_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,flow_seconds,stabilization_seconds,ping_tx,ping_rx,ping_loss_pct,pdr,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_jitter_mdev_ms,tcp_throughput_mbps,sla_rtt_ms_max,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_rtt_met,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:23:07Z,slicing_sla,light,1,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_single_path,6633,20.0,3.0,30,2.0,8090,400,1,8.0,15.0,16,4,20,0,100.0,0.0,nan,nan,nan,nan,20.3,25.0,5.0,1.0,0.99,8.0,0,0,0,0,1,0,1
2026-09-16T14:23:07Z,slicing_sla,light,1,healthcare,Mission-critical healthcare inference,concurrent_multisource_single_path,6633,20.0,3.0,30,2.0,8091,300,2,6.0,10.0,16,4,20,0,100.0,0.0,nan,nan,nan,nan,18.8,40.0,8.0,1.0,0.99,6.0,0,0,0,0,1,0,1
2026-09-16T14:23:07Z,slicing_sla,light,1,industrial,Periodic industrial monitoring inference,concurrent_multisource_single_path,6633,20.0,3.0,30,2.0,8092,200,3,3.0,6.0,16,4,20,0,100.0,0.0,nan,nan,nan,nan,12.0,60.0,15.0,3.0,0.97,3.0,0,0,0,0,1,0,1
