timestamp_utc,mode,load,rep,slice,app_class,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,slice_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,ping_tx,ping_rx,ping_loss_pct,pdr,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_jitter_mdev_ms,tcp_throughput_mbps,sla_rtt_ms_max,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_rtt_met,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:05:52Z,slicing_sla,heavy,1,autonomous,Safety-critical autonomous-driving inference,6633,20.0,3.0,30,19.0,8090,400,1,8.0,15.0,30,2,93.3333,0.06666700000000003,4032.968,4034.756,4036.545,1.788,14.3,25.0,5.0,1.0,0.99,8.0,0,1,0,0,1,0,1
2026-09-16T14:06:05Z,slicing_sla,heavy,1,healthcare,Mission-critical healthcare inference,6633,20.0,3.0,30,19.0,8091,300,2,6.0,10.0,30,30,0.0,1.0,4.073,4.14,5.253,0.207,9.56,40.0,8.0,1.0,0.99,6.0,1,1,1,1,1,1,0
2026-09-16T14:06:18Z,slicing_sla,heavy,1,industrial,Periodic industrial monitoring inference,6633,20.0,3.0,30,19.0,8092,200,3,3.0,6.0,30,30,0.0,1.0,4.074,4.109,4.162,0.018,2.87,60.0,15.0,3.0,0.97,3.0,1,1,1,1,0,0,1
