timestamp_utc,mode,load,rep,slice,app_class,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,slice_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,ping_tx,ping_rx,ping_loss_pct,pdr,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_jitter_mdev_ms,tcp_throughput_mbps,sla_rtt_ms_max,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_rtt_met,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:04:44Z,slicing_sla,moderate,1,autonomous,Safety-critical autonomous-driving inference,6633,20.0,3.0,30,12.0,8090,400,1,8.0,15.0,30,3,90.0,0.09999999999999998,4024.86,4030.201,4036.625,4.863,14.3,25.0,5.0,1.0,0.99,8.0,0,1,0,0,1,0,1
2026-09-16T14:04:56Z,slicing_sla,moderate,1,healthcare,Mission-critical healthcare inference,6633,20.0,3.0,30,12.0,8091,300,2,6.0,10.0,30,30,0.0,1.0,4.068,4.102,4.349,0.048,9.54,40.0,8.0,1.0,0.99,6.0,1,1,1,1,1,1,0
2026-09-16T14:05:10Z,slicing_sla,moderate,1,industrial,Periodic industrial monitoring inference,6633,20.0,3.0,30,12.0,8092,200,3,3.0,6.0,30,30,0.0,1.0,4.059,4.091,4.109,0.011,2.87,60.0,15.0,3.0,0.97,3.0,1,1,1,1,0,0,1
