cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec,mode
0,0.0100860595703125,0.020104646682739258,0.01007390022277832,0.00509953498840332,0.0453641414642334,nsson_full
1,0.010074138641357422,0.020099639892578125,0.010075807571411133,0.0051004886627197266,0.045350074768066406,nsson_full
2,0.010075092315673828,0.02010035514831543,0.010080099105834961,0.005103588104248047,0.045359134674072266,nsson_full
3,0.010075092315673828,0.02010321617126465,0.01007699966430664,0.005102872848510742,0.04535818099975586,nsson_full
4,0.010071754455566406,0.020082473754882812,0.010172843933105469,0.005077362060546875,0.04540443420410156,nsson_full
5,0.010068416595458984,0.02010178565979004,0.010075092315673828,0.005097627639770508,0.04534292221069336,nsson_full
6,0.010076045989990234,0.020094633102416992,0.010066986083984375,0.005060672760009766,0.04529833793640137,nsson_full
7,0.010070562362670898,0.02010035514831543,0.010075569152832031,0.00510096549987793,0.04534745216369629,nsson_full
8,0.010072469711303711,0.02009868621826172,0.010072469711303711,0.00509953498840332,0.04534316062927246,nsson_full
9,0.010074615478515625,0.02010178565979004,0.010072469711303711,0.005127906799316406,0.04537677764892578,nsson_full
