cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j,mode
0,0.1,0.0201046466827392,0.0050995349884033,2.2159183480404203,0.05,0.16862002091753275,3.067798415819795e-05,0.11044074296951262,nsson_full
1,0.1,0.0200996398925781,0.0051004886627197,2.2160536664353434,0.05,0.16870386726389414,3.06712322764926e-05,0.11041643619537336,nsson_full
2,0.1,0.0201003551483154,0.005103588104248,2.2156898817345594,0.05,0.16877266754270565,3.067364295323683e-05,0.1104251146316526,nsson_full
3,0.1,0.0201032161712646,0.0051028728485107,2.2160518486591023,0.05,0.16875256247174594,3.067730532752134e-05,0.11043829917907684,nsson_full
4,0.1,0.0200824737548828,0.0050773620605468,2.211510186935519,0.05,0.16773787019533487,3.06385093265109e-05,0.11029863357543924,nsson_full
5,0.1,0.02010178565979,0.0050976276397705,2.216639850248708,0.05,0.16863583304413665,3.067292107476123e-05,0.11042251586914041,nsson_full
6,0.1,0.0200946331024169,0.0050606727600097,2.2180320534750844,0.05,0.16757809416037073,3.064696987469975e-05,0.1103290915489191,nsson_full
7,0.1,0.0201003551483154,0.0051009654998779,2.2162606926356867,0.05,0.16872939679602042,3.0672387944327406e-05,0.11042059659957866,nsson_full
8,0.1,0.0200986862182617,0.0050995349884033,2.216286418870247,0.05,0.16869804346340062,3.066941433482696e-05,0.11040989160537706,nsson_full
9,0.1,0.02010178565979,0.0051279067993164,2.2149860238330423,0.05,0.16951093924045324,3.068600760565858e-05,0.11046962738037087,nsson_full
