nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
30,3,2,cnn,local,7.424592971801758,5000.0,37.12296485900879,0.9571
30,3,2,snn,local,719.2447185516357,4000.0,2876.978874206543,0.9021434294871795
