nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
100,10,5,cnn,local,7.47370719909668,5000.0,37.3685359954834,0.9571
100,10,5,snn,local,719.3024158477783,4000.0,2877.2096633911133,0.9021434294871795
