nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
50,5,3,cnn,local,7.404565811157227,5000.0,37.02282905578613,0.9571
50,5,3,snn,local,719.9268341064453,4000.0,2879.7073364257812,0.9021434294871795
