nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
2,1,1,cnn,local,13.367891311645508,5000.0,66.83945655822754,0.9571
2,1,1,snn,local,718.4181213378906,4000.0,2873.6724853515625,0.9021434294871795
