nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
20,2,1,cnn,local,7.424116134643555,5000.0,37.12058067321777,0.9571
20,2,1,snn,local,719.0628051757812,4000.0,2876.251220703125,0.9021434294871795
