nodes,aps,switches,model_used,execution_site,latency_ms,power_mw,energy_mj,accuracy
40,4,2,cnn,local,7.484674453735352,5000.0,37.42337226867676,0.9571
40,4,2,snn,local,719.6292877197266,4000.0,2878.5171508789062,0.9021434294871795
