cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j
0.0,0.1,0.02006196975708,0.0050983428955078,2.2146831391829296,0.05,0.16884504640133044,3.0617227156956875e-05,0.11022201776504474
1.0,0.1,0.0201005935668945,0.0051009654998779,2.2166715746077132,0.05,0.16875867653863869,3.067260980606073e-05,0.11042139530181863
2.0,0.1,0.0200729370117187,0.005063772201538,2.217060877533929,0.05,0.16778846913462953,3.0617723862330016e-05,0.11022380590438806
3.0,0.1,0.0201029777526855,0.0051050186157226,2.2164333293027165,0.05,0.1688545877998625,3.067775236235715e-05,0.11043990850448575
4.0,0.1,0.0200655460357666,0.0051045417785644,2.214122227776173,0.05,0.16897740127857575,3.062504861089916e-05,0.11025017499923696
5.0,0.1,0.0200684070587158,0.005101203918457,2.2145078374524467,0.05,0.16887223821224967,3.062761161062449e-05,0.11025940179824814
6.0,0.1,0.0200746059417724,0.0050685405731201,2.216824900347003,0.05,0.16791463279781324,3.062214785152002e-05,0.11023973226547207
7.0,0.1,0.0201036930084228,0.0050656795501708,2.2183782247922896,0.05,0.167694460960476,3.0661824676725485e-05,0.11038256883621174
8.0,0.1,0.0201032161712646,0.0050618648529052,2.21875756523203,0.05,0.16760080836148672,3.065945042504195e-05,0.11037402153015101
9.0,0.1,0.0201048851013183,0.0051043033599853,2.216538744611497,0.05,0.16882294185679578,3.0680133236779e-05,0.1104484796524044
10.0,0.1,0.0200965404510498,0.0050644874572753,2.218838183885781,0.05,0.1677494419407799,3.065103954739036e-05,0.1103437423706053
11.0,0.1,0.0201077461242675,0.0051066875457763,2.216959061253021,0.05,0.1689097896546445,3.068507048818786e-05,0.1104662537574763
12.0,0.1,0.020104169845581,0.0051076412200927,2.2156096125448608,0.05,0.1688685343128731,3.068077233102576e-05,0.11045078039169273
13.0,0.1,0.0200743675231933,0.0051066875457763,2.2149441252604305,0.05,0.16903687101458234,3.06382377942402e-05,0.11029765605926473
14.0,0.1,0.0200653076171875,0.0050630569458007,2.2159964611463363,0.05,0.1677479830640548,3.0606892373826734e-05,0.11018481254577625
15.0,0.1,0.0200631618499755,0.0050623416900634,2.2165765822718027,0.05,0.1677861364857578,3.0603382322523166e-05,0.11017217636108341
16.0,0.1,0.0201022624969482,0.0051062107086181,2.2167157429803326,0.05,0.1689215480071492,3.067715300454025e-05,0.1104377508163449
17.0,0.1,0.0200815200805664,0.0050640106201171,2.217074750069753,0.05,0.16772570056803235,3.063000904189211e-05,0.11026803255081159
18.0,0.1,0.0201063156127929,0.0050704479217529,2.218200756479784,0.05,0.16781699291391924,3.0667586459053774e-05,0.11040331125259359
19.0,0.1,0.0201056003570556,0.0050644874572753,2.218670413167472,0.05,0.1676611732019925,3.066395388709162e-05,0.11039023399352982
20.0,0.1,0.0201053619384765,0.0051052570343017,2.21667288776266,0.05,0.16886069826983247,3.068116969532426e-05,0.11045221090316734
21.0,0.1,0.0201058387756347,0.0050644874572753,2.2181714880924135,0.05,0.16762148256868858,3.066443403561897e-05,0.11039196252822829
22.0,0.1,0.0200641155242919,0.0051321983337402,2.2133005807103103,0.05,0.1698419878808272,3.063477410210489e-05,0.1102851867675776
23.0,0.1,0.020106554031372,0.0051052570343017,2.216163516723776,0.05,0.1688118863918247,3.0683007505204816e-05,0.11045882701873734
