cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec
0,0.01006007194519043,0.020061969757080078,0.010072708129882812,0.0050983428955078125,0.04529309272766113
1,0.010065793991088867,0.02010059356689453,0.01007223129272461,0.00510096549987793,0.04533958435058594
2,0.010064125061035156,0.02007293701171875,0.010068416595458984,0.005063772201538086,0.04526925086975098
3,0.010068655014038086,0.020102977752685547,0.010073184967041016,0.005105018615722656,0.045349836349487305
4,0.01007390022277832,0.0200655460357666,0.010068655014038086,0.005104541778564453,0.04531264305114746
5,0.010071992874145508,0.02006840705871582,0.010069608688354492,0.005101203918457031,0.04531121253967285
6,0.010073661804199219,0.02007460594177246,0.010061025619506836,0.005068540573120117,0.04527783393859863
7,0.010068655014038086,0.02010369300842285,0.010073661804199219,0.0050656795501708984,0.045311689376831055
8,0.010066747665405273,0.02010321617126465,0.010071039199829102,0.0050618648529052734,0.0453028678894043
9,0.010062694549560547,0.02010488510131836,0.010080099105834961,0.0051043033599853516,0.04535198211669922
10,0.010068178176879883,0.020096540451049805,0.01005697250366211,0.005064487457275391,0.04528617858886719
11,0.010061025619506836,0.020107746124267578,0.010074377059936523,0.005106687545776367,0.045349836349487305
12,0.010073184967041016,0.020104169845581055,0.010084390640258789,0.0051076412200927734,0.04536938667297363
13,0.010066509246826172,0.02007436752319336,0.010068178176879883,0.005106687545776367,0.04531574249267578
14,0.010079622268676758,0.0200653076171875,0.010065793991088867,0.005063056945800781,0.045273780822753906
15,0.010066747665405273,0.020063161849975586,0.010064840316772461,0.0050623416900634766,0.0452570915222168
16,0.010061979293823242,0.020102262496948242,0.010071992874145508,0.005106210708618164,0.045342445373535156
17,0.010076761245727539,0.020081520080566406,0.010066032409667969,0.0050640106201171875,0.0452883243560791
18,0.010070323944091797,0.02010631561279297,0.010074138641357422,0.00507044792175293,0.04532122611999512
19,0.010071277618408203,0.020105600357055664,0.010068655014038086,0.005064487457275391,0.045310020446777344
20,0.010065317153930664,0.020105361938476562,0.010074377059936523,0.005105257034301758,0.04535031318664551
21,0.010072946548461914,0.020105838775634766,0.010077476501464844,0.005064487457275391,0.045320749282836914
22,0.010061025619506836,0.020064115524291992,0.010068893432617188,0.005132198333740234,0.04532623291015625
23,0.010072708129882812,0.02010655403137207,0.010078907012939453,0.005105257034301758,0.045363426208496094
24,0.01006770133972168,0.02007603645324707,0.010069131851196289,0.005065202713012695,0.045278072357177734
25,0.010066986083984375,0.020108699798583984,0.010074138641357422,0.005106449127197266,0.04535627365112305
26,0.010072946548461914,0.02006363868713379,0.010067939758300781,0.005066394805908203,0.04527091979980469
27,0.01006460189819336,0.02010178565979004,0.010183572769165039,0.005079507827758789,0.04542946815490723
28,0.010071754455566406,0.020096302032470703,0.010114192962646484,0.005067110061645508,0.0453493595123291
29,0.010061264038085938,0.020061492919921875,0.010068416595458984,0.005104541778564453,0.04529571533203125
30,0.01007223129272461,0.020102977752685547,0.010072946548461914,0.0051021575927734375,0.04535031318664551
31,0.010071754455566406,0.02013087272644043,0.010108232498168945,0.0050694942474365234,0.045380353927612305
32,0.010067462921142578,0.02010369300842285,0.010074377059936523,0.005102396011352539,0.04534792900085449
33,0.010071754455566406,0.020093679428100586,0.010073184967041016,0.005104541778564453,0.04534316062927246
34,0.010093212127685547,0.02009749412536621,0.010069608688354492,0.00506138801574707,0.04532170295715332
35,0.01007390022277832,0.020099401473999023,0.010073661804199219,0.0051043033599853516,0.045351266860961914
36,0.010071039199829102,0.020091772079467773,0.010074138641357422,0.0050945281982421875,0.045331478118896484
37,0.010066986083984375,0.02010369300842285,0.01007390022277832,0.0051043033599853516,0.0453488826751709
38,0.010072708129882812,0.020088911056518555,0.010068893432617188,0.005061626434326172,0.04529213905334473
39,0.010073423385620117,0.020065784454345703,0.01006770133972168,0.005060672760009766,0.045267581939697266
40,0.010069131851196289,0.02010369300842285,0.010077953338623047,0.005103588104248047,0.045354366302490234
41,0.010079622268676758,0.020093917846679688,0.010074853897094727,0.005064964294433594,0.045313358306884766
42,0.010059356689453125,0.020105361938476562,0.010073423385620117,0.005098581314086914,0.04533672332763672
43,0.010086536407470703,0.02009868621826172,0.010074138641357422,0.005097866058349609,0.04535722732543945
44,0.010066986083984375,0.020101308822631836,0.010072469711303711,0.0051043033599853516,0.04534506797790527
45,0.010073423385620117,0.020104169845581055,0.010074853897094727,0.005125999450683594,0.04537844657897949
46,0.010071992874145508,0.020104408264160156,0.010072708129882812,0.00510406494140625,0.04535317420959473
47,0.010071992874145508,0.0201263427734375,0.010067939758300781,0.005063056945800781,0.04532933235168457
48,0.010062694549560547,0.020102739334106445,0.010076522827148438,0.005105733871459961,0.04534769058227539
49,0.01007699966430664,0.02010178565979004,0.010075807571411133,0.0051038265228271484,0.04535841941833496
50,0.010068178176879883,0.020075082778930664,0.010065793991088867,0.0050618648529052734,0.04527091979980469
51,0.01007390022277832,0.02009415626525879,0.010067224502563477,0.00506138801574707,0.045296669006347656
52,0.010066747665405273,0.02010345458984375,0.010069847106933594,0.005064487457275391,0.04530453681945801
53,0.010062694549560547,0.02010321617126465,0.010074615478515625,0.00510406494140625,0.04534459114074707
54,0.010071992874145508,0.02010369300842285,0.010080814361572266,0.005037069320678711,0.045293569564819336
55,0.010061264038085938,0.020071029663085938,0.01007223129272461,0.005105257034301758,0.04530978202819824
56,0.010071992874145508,0.020105838775634766,0.010073661804199219,0.005103111267089844,0.045354604721069336
57,0.010080099105834961,0.02010631561279297,0.010065317153930664,0.00506138801574707,0.045313119888305664
58,0.010061264038085938,0.020102739334106445,0.010073423385620117,0.005101680755615234,0.045339107513427734
59,0.010070085525512695,0.020069122314453125,0.010064840316772461,0.0050640106201171875,0.04526805877685547
60,0.010069608688354492,0.020104169845581055,0.010073184967041016,0.005124330520629883,0.045371294021606445
61,0.010073661804199219,0.020104646682739258,0.010072708129882812,0.00510406494140625,0.04535508155822754
62,0.010072946548461914,0.020103931427001953,0.010068178176879883,0.005062580108642578,0.04530763626098633
63,0.01006770133972168,0.02007436752319336,0.01006174087524414,0.005064487457275391,0.04526829719543457
64,0.010103940963745117,0.020068645477294922,0.010070323944091797,0.00510406494140625,0.045346975326538086
65,0.010074615478515625,0.020078659057617188,0.010068416595458984,0.00506138801574707,0.04528307914733887
66,0.010061025619506836,0.02010345458984375,0.010073423385620117,0.005126237869262695,0.0453641414642334
67,0.01008749008178711,0.020165205001831055,0.010076522827148438,0.005102872848510742,0.045432090759277344
68,0.01007080078125,0.020100831985473633,0.010066986083984375,0.0050618648529052734,0.04530048370361328
69,0.010066747665405273,0.020105838775634766,0.010073661804199219,0.0051038265228271484,0.045350074768066406
70,0.010072946548461914,0.020106077194213867,0.010073423385620117,0.0051043033599853516,0.04535675048828125
71,0.01006770133972168,0.02010345458984375,0.010067224502563477,0.005061626434326172,0.04530000686645508
72,0.010067462921142578,0.0200808048248291,0.010068178176879883,0.0050640106201171875,0.04528045654296875
73,0.010062456130981445,0.020102977752685547,0.01007390022277832,0.00510096549987793,0.04534029960632324
74,0.010073423385620117,0.020100831985473633,0.010065317153930664,0.005063295364379883,0.0453028678894043
75,0.010063409805297852,0.020102977752685547,0.010072946548461914,0.005101680755615234,0.04534101486206055
76,0.010067224502563477,0.020064592361450195,0.010063409805297852,0.005060911178588867,0.04525613784790039
