cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec,mode
0,0.010071277618408203,0.020098447799682617,0.010076522827148438,0.005100727081298828,0.045346975326538086,local_only
1,0.01007223129272461,0.020098447799682617,0.010070323944091797,0.00506281852722168,0.0453038215637207,local_only
2,0.010068178176879883,0.02007579803466797,0.010065555572509766,0.0050623416900634766,0.045271873474121094,local_only
3,0.010061502456665039,0.020074844360351562,0.010073661804199219,0.00506901741027832,0.04527902603149414,local_only
4,0.010070323944091797,0.02007460594177246,0.010066032409667969,0.005061626434326172,0.0452725887298584,local_only
5,0.010062217712402344,0.020061731338500977,0.010061979293823242,0.005061149597167969,0.04524707794189453,local_only
6,0.010062694549560547,0.020058155059814453,0.010057210922241211,0.005060911178588867,0.04523897171020508,local_only
7,0.01007080078125,0.02009749412536621,0.010075092315673828,0.005097627639770508,0.04534101486206055,local_only
8,0.010071039199829102,0.020097970962524414,0.010066509246826172,0.005061149597167969,0.045296669006347656,local_only
9,0.010060787200927734,0.020099878311157227,0.010072946548461914,0.0051000118255615234,0.0453336238861084,local_only
