controller,load,n_reps,rtt_avg_ms_mean,rtt_avg_ms_std,rtt_avg_ms_ci95,rtt_jitter_mdev_ms_mean,rtt_jitter_mdev_ms_std,rtt_jitter_mdev_ms_ci95,ping_loss_pct_mean,ping_loss_pct_std,ping_loss_pct_ci95,control_tcp_throughput_mbps_mean,control_tcp_throughput_mbps_std,control_tcp_throughput_mbps_ci95,background_udp_throughput_mbps_mean,background_udp_throughput_mbps_std,background_udp_throughput_mbps_ci95,background_udp_jitter_ms_mean,background_udp_jitter_ms_std,background_udp_jitter_ms_ci95,background_udp_loss_pct_mean,background_udp_loss_pct_std,background_udp_loss_pct_ci95
baseline,heavy,5,25.113400000000002,0.23203620407169254,0.26679201467540253,0.4274,0.6689381884748397,0.7691358670105434,57.33334,6.411772159317579,7.372166851580901,12.78,8.434545038115571,9.697923100371028,19.419999999999998,0.04472135954999643,0.05142000000000073,0.0268,0.006418722614352485,0.007380158388544246,2.12,0.044721359549995836,0.05142000000000005
baseline,light,5,10.319,0.2739753638559498,0.3150130799070097,0.9292,1.4117566008345772,1.6232181925006077,0.0,0.0,0.0,17.439999999999998,0.05477225575051739,0.0629763812869564,2.1,0.0,0.0,0.0002,0.000447213595499958,0.0005142,0.0,0.0,0.0
baseline,moderate,5,10.186600000000002,0.054344272927328574,0.062484292562691064,0.4406,0.28468807491709236,0.3273304067572397,0.0,0.0,0.0,9.2,0.056124860801608875,0.06453158784657297,12.6,0.0,0.0,0.0016,0.0020736441353327723,0.002384247315191946,0.0,0.0,0.0
nsson,heavy,5,25.2278,0.07096971184949323,0.08159999204007395,0.8583999999999999,0.32981100648704853,0.37921212870563614,51.33334,3.8005818269049283,4.369856361834818,6.6175,8.278604451637163,9.518624773186776,19.48,0.04472135954999643,0.05142000000000073,0.026799999999999997,0.002774887385102322,0.0031905270943842503,2.16,0.05477225575051666,0.06297638128695557
nsson,light,5,10.2326,0.016349311912126498,0.0187982124644872,0.492,0.05310367218940703,0.06105786701154899,0.0,0.0,0.0,17.419999999999998,0.04472135954999643,0.05142000000000073,2.1,0.0,0.0,0.001,0.00223606797749979,0.002571,0.0,0.0,0.0
nsson,moderate,5,10.1926,0.06021046420681407,0.06922915807273732,0.546,0.31522293698270115,0.36243896837550454,0.0,0.0,0.0,9.076,0.09289779329994868,0.1068125964762583,12.6,0.0,0.0,0.0018000000000000002,0.0019235384061671345,0.0022116578261566593,0.0,0.0,0.0
