timestamp_utc,mode,load,rep,slice,app_class,topology_type,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,tcp_inference_port,udp_probe_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,udp_probe_rate_mbps,tcp_flow_seconds,udp_probe_seconds,tcp_throughput_mbps,tcp_retransmits,tcp_valid_json,tcp_error,udp_probe_throughput_mbps,udp_jitter_ms,udp_loss_pct,udp_pdr,udp_packets,udp_lost_packets,udp_valid_json,udp_error,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:48:57Z,slicing_sla,light,601,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_all_iperf3_json,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,36,8,8.56161340008981,-1,1,,nan,nan,100.0,0.0,0,0,0,json_decode_failed,5.0,1.0,0.99,8.0,0,0,0,1,0,1
2026-09-16T14:48:57Z,slicing_sla,light,601,healthcare,Mission-critical healthcare inference,concurrent_multisource_all_iperf3_json,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,36,8,6.37496359300897,-1,1,,nan,nan,100.0,0.0,0,0,0,json_decode_failed,8.0,1.0,0.99,6.0,0,0,0,1,0,1
2026-09-16T14:48:57Z,slicing_sla,light,601,industrial,Periodic industrial monitoring inference,concurrent_multisource_all_iperf3_json,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,36,8,2.272668060384617,-1,1,,0.2012701885683029,0.0345776629838299,0.0,1.0,139,0,1,,15.0,3.0,0.97,3.0,1,1,1,0,0,1
