timestamp_utc,mode,load,rep,slice,app_class,topology_type,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,tcp_inference_port,udp_probe_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,udp_probe_rate_mbps,tcp_flow_seconds,udp_probe_seconds,tcp_throughput_mbps,udp_probe_throughput_mbps,udp_jitter_ms,udp_loss_pct,udp_pdr,udp_packets,udp_lost_packets,udp_valid_json,udp_error,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:40:14Z,slicing_sla,light,401,autonomous,Safety-critical autonomous-driving inference,concurrent_tcp_oneoff_iperf3_udp_probe,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,nan,0.3011813646630592,0.0008011052831320953,0.0,1.0,208,0,1,,5.0,1.0,0.99,8.0,1,1,1,0,0,1
2026-09-16T14:40:14Z,slicing_sla,light,401,healthcare,Mission-critical healthcare inference,concurrent_tcp_oneoff_iperf3_udp_probe,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,30,8,nan,0.2505017767967309,0.03129799624424221,0.0,1.0,173,0,1,,8.0,1.0,0.99,6.0,1,1,1,0,0,1
2026-09-16T14:40:14Z,slicing_sla,light,401,industrial,Periodic industrial monitoring inference,concurrent_tcp_oneoff_iperf3_udp_probe,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,30,8,nan,0.20127021372685316,0.01643663850134529,0.0,1.0,139,0,1,,15.0,3.0,0.97,3.0,1,1,1,0,0,1
