epoch,train_loss,train_acc,val_loss,val_acc
1,1.8104555313491821,0.34342,1.686681032371521,0.3896
2,1.6581560625076295,0.40344,1.5812819133758544,0.4307
3,1.5919911154937745,0.4269,1.5776391315460205,0.4358
4,1.5544514057159424,0.44044,1.5294356449127198,0.4518
5,1.528656987991333,0.44832,1.520203715133667,0.4549
6,1.504571487197876,0.45888,1.4909433444976807,0.4657
7,1.4844413412475586,0.4659,1.5026789646148682,0.4624
8,1.474224884223938,0.46898,1.4837402494430543,0.4669
9,1.4627132665252685,0.47098,1.4540677738189698,0.4765
10,1.451749905128479,0.47764,1.4687178173065185,0.4761
11,1.4391203734779359,0.48004,1.4570665603637696,0.4836
12,1.4282091975021363,0.48704,1.4398639270782472,0.4851
13,1.419833777694702,0.48862,1.444711524581909,0.4832
14,1.4153934155464172,0.49178,1.431995129776001,0.4882
15,1.4029378549957274,0.49688,1.4290988513946534,0.4916
16,1.4071403496932984,0.49788,1.4181629373550415,0.4938
17,1.39670784614563,0.49848,1.423570524787903,0.4921
18,1.3880763652801513,0.5017,1.4187339363098144,0.4918
19,1.3836113962554932,0.50256,1.4195028188705445,0.4927
20,1.3790368700027467,0.50824,1.405335422897339,0.4968
21,1.3726260635757446,0.50486,1.403395096206665,0.5023
22,1.372801907043457,0.5097,1.3908205667495728,0.5083
23,1.3647090854263306,0.51216,1.392731927871704,0.5057
24,1.3600086743927002,0.51358,1.377071653366089,0.5123
25,1.3540924904632567,0.51522,1.404668459892273,0.4926
26,1.35681437789917,0.51464,1.38041395778656,0.5053
27,1.348737038154602,0.5189,1.3757975430488587,0.5143
28,1.3464402283859254,0.5184,1.3793415410995484,0.5122
29,1.344182703781128,0.51864,1.38052250289917,0.5089
30,1.3417503440856933,0.52038,1.3785877681732177,0.5146
31,1.3389124100875855,0.52308,1.3635413467407227,0.5118
32,1.3400601279830933,0.52374,1.3719990774154662,0.511
33,1.3309818293762208,0.52556,1.3968365983963014,0.5126
34,1.3276090615844727,0.52462,1.3577891021728516,0.5153
35,1.3248395777893067,0.52494,1.3855127566337586,0.5097
