cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec,mode
0,0.010088205337524414,0.02007460594177246,0.010067939758300781,0.005101203918457031,0.04533195495605469,baseline_sdn_iot
1,0.010071516036987305,0.020101547241210938,0.010073661804199219,0.005101442337036133,0.045348167419433594,baseline_sdn_iot
2,0.010065555572509766,0.02009105682373047,0.010070085525512695,0.005101442337036133,0.04532814025878906,baseline_sdn_iot
3,0.010072946548461914,0.02009272575378418,0.010074138641357422,0.0050809383392333984,0.045320749282836914,baseline_sdn_iot
4,0.01007390022277832,0.020099401473999023,0.010073423385620117,0.005098819732666016,0.04534554481506348,baseline_sdn_iot
5,0.010073661804199219,0.020122051239013672,0.010076284408569336,0.005099296569824219,0.045371294021606445,baseline_sdn_iot
6,0.010067939758300781,0.020099163055419922,0.010072946548461914,0.0051000118255615234,0.04534006118774414,baseline_sdn_iot
7,0.010074377059936523,0.020102500915527344,0.010075092315673828,0.005102872848510742,0.04535484313964844,baseline_sdn_iot
8,0.010074377059936523,0.02010345458984375,0.01007533073425293,0.005104780197143555,0.04535794258117676,baseline_sdn_iot
9,0.010065793991088867,0.02009415626525879,0.010062217712402344,0.005064249038696289,0.04528641700744629,baseline_sdn_iot
