timestamp_utc,mode,load,rep,slice,measurement_order,app_class,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,slice_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,ping_tx,ping_rx,ping_loss_pct,pdr,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_jitter_mdev_ms,tcp_throughput_mbps,sla_rtt_ms_max,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_rtt_met,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T14:10:26Z,slicing_sla,light,101,healthcare,1,Mission-critical healthcare inference,6633,20.0,3.0,30,2.0,8091,300,2,6.0,10.0,30,30,0.0,1.0,4.06,4.092,4.123,0.014,9.55,40.0,8.0,1.0,0.99,6.0,1,1,1,1,1,1,0
2026-09-16T14:10:38Z,slicing_sla,light,101,autonomous,2,Safety-critical autonomous-driving inference,6633,20.0,3.0,30,2.0,8090,400,1,8.0,15.0,30,30,0.0,1.0,4.065,4.099,4.134,0.015,14.3,25.0,5.0,1.0,0.99,8.0,1,1,1,1,1,1,0
2026-09-16T14:10:52Z,slicing_sla,light,101,industrial,3,Periodic industrial monitoring inference,6633,20.0,3.0,30,2.0,8092,200,3,3.0,6.0,30,30,0.0,1.0,4.073,4.1,4.135,0.013,2.86,60.0,15.0,3.0,0.97,3.0,1,1,1,1,0,0,1
